ID_Provinsi;Provinsi;Tahun;Pengangguran;Jumlah AK;Pengeluaran Perkapita;PDRB provinsi;Upah (Rupiah Jam);PP IKM (Y to Y);PDRB (Rupiah) perkapita;Penduduk (ribu jiwa);Gini Ratio;PK-K;PK-M;PK-B;Industri Mikro;Industri Kecil
52;Nusa Tenggara Barat;2019;85501;2607615;1029450653;3.9;11954;8.15;25716;5152.4;0.374;3553;254;15;97511;10970
53;Nusa Tenggara Timur;2019;84874;2699913;7506934901;5.25;12610;23.76;19630;5437.2;0.355;5631;395;9;139485;678
61;Kalimantan Barat;2019;111257;2556335;1080369652;5.09;15309;4.13;42045;5045.7;0.318;5161;381;8;42494;530
62;Kalimantan Tengah;2019;55473;1374427;1287201353;6.12;18090;7.4;56625;2649.8;0.335;1499;311;22;24421;1042
63;Kalimantan Selatan;2019;89269;2135100;1250362.48;4.09;16517;9.7;42824;4216.3;0.334;3616;471;7;55889;1864
64;Kalimantan Timur;2019;106960;1800441;1617640117;4.7;21691;11.49;180259;3619.7;0.335;3682;1187;67;31035;1007
65;Kalimantan Utara;2019;15062;335108;1455946947;6.89;20639;5.1;138751;695.6;0.292;1413;221;17;7032;162
71;Sulawesi Utara;2019;73413;1222400;1150782836;5.65;18350;7.93;52173;2494.1;0.376;2273;289;12;36458;573
72;Sulawesi Tengah;2019;46993;1513035;9836406147;8.83;14682;17.26;61056;3042.1;0.33;3189;298;9;82956;2423
73;Sulawesi Selatan;2019;196779;4255374;1022418126;6.91;17105;16.62;57182;8819.5;0.391;9698;1491;32;124786;5037
74;Sulawesi Tenggara;2019;46017;1308651;1021289638;6.5;15849;20.15;48514;2663.7;0.393;3203;335;10;48915;520
75;Gorontalo;2019;22382;595223;1002864355;6.4;13492;31.24;34977;1176.4;0.41;658;138;3;27535;1180
76;Sulawesi Barat;2019;20286;680767;8410130427;5.56;13126;28.3;34112;1359.2;0.365;1195;49;1;25653;642
81;Maluku;2019;54400;812652;1002239079;5.41;17306;13.66;26097;1768.5;0.32;1956;267;13;24839;165
82;Maluku Utara;2019;27874;579652;1026089855;6.25;17425;-3.54;32125;1235.7;0.31;2168;331;7;13993;220
91;Papua Barat;2019;29991;466705;1368510088;2.66;22987;21.28;87542;963.6;0.381;3162;516;24;6645;98
94;Papua;2019;65143;1857300;1214718.28;-15.74;24984;7.65;56619;3347.1;0.391;4900;891;39;15184;297
11;Aceh;2018;151909;2395586;9738173475;4.61;13814;8.14;29521;5243.4;0.318;3837;634;19;110701;3341
12;Sumatera Utara;2018;413780;7453271;1001709355;5.18;13257;7.9;51427;14476;0.311;6257;1183;36;133221;7387
13;Sumatera Barat;2018;148699;2629104;1148630667;5.14;14431;2.33;42803;5411.8;0.305;4737;373;17;104296;4292
14;Riau;2018;183821;3074107;1187772762;2.35;15613;9.23;110385;6717.6;0.347;6560;1141;35;75215;2661
15;Jambi;2018;66863;1791762;1052421506;4.69;14007;6.56;58225;3527.1;0.335;2782;354;10;33495;1069
16;Sumatera Selatan;2018;178847;4184425;9700785489;6.01;13214;0.99;50105;8391.5;0.341;2564;764;38;68082;5482
17;Bengkulu;2018;34236;1022150;1107778256;4.97;14353;11.67;33822;1948.6;0.355;1278;153;6;27931;340
18;Lampung;2018;175505;4339281;9226376707;5.23;11779;3.08;39716;8377.7;0.326;3153;419;12;93011;2482
19;Kepulauan Bangka Belitung;2018;25940;718586;1419495191;4.45;15818;2.48;50082;1432.1;0.272;1203;104;1;25027;561
21;Kepulauan Riau;2018;82062;1020062;1574391511;4.47;23212;20.31;116461;2174.8;0.339;1623;454;16;29013;982
31;DKI Jakarta;2018;336491;5062229;2039156358;6.11;25238;21.4;247678;10428;0.39;1861;7389;842;28059;9791
